"role,question,difficulty,expected_keywords"
"Data Scientist,What is Machine Learning?,Easy,""data,algorithm,learning,model"""
"Data Scientist,Explain supervised learning.,Easy,""labeled,data,prediction,training"""
"Data Scientist,What is overfitting?,Medium,""model,training,data,accuracy"""
"Data Scientist,Explain difference between AI and ML.,Medium,""artificial,intelligence,machine,learning"""
"Data Scientist,What is feature engineering?,Hard,""features,data,transformation"""

"Python Developer,What is OOP in Python?,Easy,""class,object,inheritance,polymorphism"""
"Python Developer,Explain Python decorators.,Medium,""function,wrapper,decorator"""
"Python Developer,What is list comprehension?,Easy,""list,loop,syntax"""
"Python Developer,Difference between list and tuple?,Easy,""mutable,immutable"""
"Python Developer,Explain multithreading in Python.,Hard,""threading,parallel,gil"""

"Cyber Security,What is phishing?,Easy,""email,fraud,attack"""
"Cyber Security,Explain SQL Injection.,Medium,""database,query,attack"""
"Cyber Security,What is XSS attack?,Medium,""script,browser,website"""
"Cyber Security,Explain firewall.,Easy,""security,network,protection"""
"Cyber Security,What is encryption?,Medium,""data,security,key"""

"AI Engineer,What is NLP?,Easy,""text,language,processing"""
"AI Engineer,Explain transformers in AI.,Hard,""attention,model,transformer"""
"AI Engineer,What is deep learning?,Medium,""neural,network,layers"""
"AI Engineer,Explain ChatGPT.,Easy,""language,model,ai"""
"AI Engineer,What is tokenization?,Easy,""text,tokens,words"""

"Software Engineer,What is SDLC?,Easy,""software,development,life,cycle"""
"Software Engineer,Explain Agile methodology.,Medium,""sprint,development,team"""
"Software Engineer,What is version control?,Easy,""git,repository,code"""
"Software Engineer,Explain REST API.,Medium,""http,api,request,response"""
"Software Engineer,What is debugging?,Easy,""errors,fix,testing"""

"Frontend Developer,What is HTML?,Easy,""web,markup,structure"""
"Frontend Developer,Difference between CSS and JavaScript?,Easy,""style,functionality"""
"Frontend Developer,Explain responsive design.,Medium,""mobile,screen,layout"""
"Frontend Developer,What is React?,Medium,""component,javascript,ui"""
"Frontend Developer,What is DOM?,Easy,""document,object,model"""

"Backend Developer,What is an API?,Easy,""application,interface"""
"Backend Developer,Explain authentication vs authorization.,Medium,""login,permission"""
"Backend Developer,What is database normalization?,Hard,""database,tables,redundancy"""
"Backend Developer,Explain JWT.,Hard,""token,authentication"""
"Backend Developer,What is caching?,Medium,""performance,memory,data"""
